#Command-Line Arguments: /home/student/hpc26s60/hpc/bcast/./reprompi-dev/build/bin/mpibenchmark --msizes-list=1048576,10485760 --nrep=10 --calls-list=MPI_Bcast
#MPI calls:
#	MPI_Bcast
#Message sizes:
#	1048576
#	10485760
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=d40429c283ca80d541a583f44fcb67901a13086f
#@nprocs=512
#@clock=MPI_Wtime
#@clock_tick=0.0000000010
#@clocksync=HCA3O
#@procsync=MPI_Barrier
#@runtime_type=local
#@nrep=10
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          0      1048576   0.0067222530
                                         MPI_Bcast          1      1048576   0.0048050020
                                         MPI_Bcast          2      1048576   0.0047640870
                                         MPI_Bcast          3      1048576   0.0047484440
                                         MPI_Bcast          4      1048576   0.0047550490
                                         MPI_Bcast          5      1048576   0.0047731190
                                         MPI_Bcast          6      1048576   0.0047988630
                                         MPI_Bcast          7      1048576   0.0050034350
                                         MPI_Bcast          8      1048576   0.0047433890
                                         MPI_Bcast          9      1048576   0.0047546630
                                         MPI_Bcast          0     10485760   0.0517562620
                                         MPI_Bcast          1     10485760   0.0522935620
                                         MPI_Bcast          2     10485760   0.0516549170
                                         MPI_Bcast          3     10485760   0.0515733220
                                         MPI_Bcast          4     10485760   0.0515610160
                                         MPI_Bcast          5     10485760   0.0519261000
                                         MPI_Bcast          6     10485760   0.0515859580
                                         MPI_Bcast          7     10485760   0.0517419930
                                         MPI_Bcast          8     10485760   0.0515105510
                                         MPI_Bcast          9     10485760   0.0519957410
# Benchmark started at Sun May  3 22:22:06 2026
# Execution time: 1s
