#Command-Line Arguments: /home/student/hpc26s60/hpc/bcast/./reprompi-dev/build/bin/mpibenchmark --msizes-list=1,10,100,1000,10000,100000,1000000,10000000,100000000 --nrep=10 --calls-list=MPI_Bcast
#MPI calls:
#	MPI_Bcast
#Message sizes:
#	1
#	10
#	100
#	1000
#	10000
#	100000
#	1000000
#	10000000
#	100000000
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=d40429c283ca80d541a583f44fcb67901a13086f
#@nprocs=512
#@clock=MPI_Wtime
#@clock_tick=0.0000000010
#@clocksync=HCA3O
#@procsync=MPI_Barrier
#@runtime_type=local
#@nrep=10
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          0            1   0.0005921580
                                         MPI_Bcast          1            1   0.0002584200
                                         MPI_Bcast          2            1   0.0002155880
                                         MPI_Bcast          3            1   0.0002020240
                                         MPI_Bcast          4            1   0.0001900600
                                         MPI_Bcast          5            1   0.0002085170
                                         MPI_Bcast          6            1   0.0001972860
                                         MPI_Bcast          7            1   0.0001996160
                                         MPI_Bcast          8            1   0.0002247370
                                         MPI_Bcast          9            1   0.0001639170
                                         MPI_Bcast          0           10   0.0003049220
                                         MPI_Bcast          1           10   0.0002110830
                                         MPI_Bcast          2           10   0.0002193440
                                         MPI_Bcast          3           10   0.0002155520
                                         MPI_Bcast          4           10   0.0002003160
                                         MPI_Bcast          5           10   0.0002119610
                                         MPI_Bcast          6           10   0.0002023500
                                         MPI_Bcast          7           10   0.0002206010
                                         MPI_Bcast          8           10   0.0002391450
                                         MPI_Bcast          9           10   0.0002306980
                                         MPI_Bcast          0          100   0.0015390200
                                         MPI_Bcast          1          100   0.0004725380
                                         MPI_Bcast          2          100   0.0004521880
                                         MPI_Bcast          3          100   0.0004731010
                                         MPI_Bcast          4          100   0.0004608000
                                         MPI_Bcast          5          100   0.0004692300
                                         MPI_Bcast          6          100   0.0004699350
                                         MPI_Bcast          7          100   0.0004569750
                                         MPI_Bcast          8          100   0.0004441840
                                         MPI_Bcast          9          100   0.0006438700
                                         MPI_Bcast          0         1000   0.0007466140
                                         MPI_Bcast          1         1000   0.0006195890
                                         MPI_Bcast          2         1000   0.0005575140
                                         MPI_Bcast          3         1000   0.0006181800
                                         MPI_Bcast          4         1000   0.0005670340
                                         MPI_Bcast          5         1000   0.0005312480
                                         MPI_Bcast          6         1000   0.0006194370
                                         MPI_Bcast          7         1000   0.0005616310
                                         MPI_Bcast          8         1000   0.0005576960
                                         MPI_Bcast          9         1000   0.0008282980
                                         MPI_Bcast          0        10000   0.0006800180
                                         MPI_Bcast          1        10000   0.0006066510
                                         MPI_Bcast          2        10000   0.0005984340
                                         MPI_Bcast          3        10000   0.0006280820
                                         MPI_Bcast          4        10000   0.0006190580
                                         MPI_Bcast          5        10000   0.0005983280
                                         MPI_Bcast          6        10000   0.0006225240
                                         MPI_Bcast          7        10000   0.0006031660
                                         MPI_Bcast          8        10000   0.0006152670
                                         MPI_Bcast          9        10000   0.0008525060
                                         MPI_Bcast          0       100000   0.0010929570
                                         MPI_Bcast          1       100000   0.0008231130
                                         MPI_Bcast          2       100000   0.0005567490
                                         MPI_Bcast          3       100000   0.0005701320
                                         MPI_Bcast          4       100000   0.0005935150
                                         MPI_Bcast          5       100000   0.0005658030
                                         MPI_Bcast          6       100000   0.0005293250
                                         MPI_Bcast          7       100000   0.0006718610
                                         MPI_Bcast          8       100000   0.0005479670
                                         MPI_Bcast          9       100000   0.0004753060
                                         MPI_Bcast          0      1000000   0.0028677730
                                         MPI_Bcast          1      1000000   0.0025321870
                                         MPI_Bcast          2      1000000   0.0030122880
                                         MPI_Bcast          3      1000000   0.0025676690
                                         MPI_Bcast          4      1000000   0.0026436770
                                         MPI_Bcast          5      1000000   0.0026690450
                                         MPI_Bcast          6      1000000   0.0026388890
                                         MPI_Bcast          7      1000000   0.0026558540
                                         MPI_Bcast          8      1000000   0.0026910230
                                         MPI_Bcast          9      1000000   0.0026025700
                                         MPI_Bcast          0     10000000   0.3062398640
                                         MPI_Bcast          1     10000000   0.0227178140
                                         MPI_Bcast          2     10000000   0.0238044880
                                         MPI_Bcast          3     10000000   0.0244053550
                                         MPI_Bcast          4     10000000   0.0256036640
                                         MPI_Bcast          5     10000000   0.0259939920
                                         MPI_Bcast          6     10000000   0.0276349010
                                         MPI_Bcast          7     10000000   0.0563643420
                                         MPI_Bcast          8     10000000   0.0515775090
                                         MPI_Bcast          9     10000000   0.0423306080
                                         MPI_Bcast          0    100000000   7.7315125310
                                         MPI_Bcast          1    100000000  10.9998583140
                                         MPI_Bcast          2    100000000   1.9327816620
                                         MPI_Bcast          3    100000000   2.5050972530
                                         MPI_Bcast          4    100000000   0.4265273500
                                         MPI_Bcast          5    100000000   0.2437025150
                                         MPI_Bcast          6    100000000   0.2592107600
                                         MPI_Bcast          7    100000000   0.2847986830
                                         MPI_Bcast          8    100000000   0.6344904430
                                         MPI_Bcast          9    100000000   0.3063042620
# Benchmark started at Sun May  3 22:16:43 2026
# Execution time: 26s
